period,fourier_order,changepoint_prior_scale,seasonality_prior_scale,mse
50,2,0.005,0.1,0.154415819802145
50,2,0.005,1.0,0.1555712374834524
50,2,0.005,10.0,0.156148331490582
50,2,0.05,0.1,0.1526611135989253
50,2,0.05,1.0,0.1549472281076237
50,2,0.05,10.0,0.1537740693161088
50,2,0.5,0.1,0.1471964977908316
50,2,0.5,1.0,0.1487172884065357
50,2,0.5,10.0,0.1499576085613689
50,4,0.005,0.1,0.1561883472044714
50,4,0.005,1.0,0.1578581287981467
50,4,0.005,10.0,0.1573174083958315
50,4,0.05,0.1,0.1551528367532332
50,4,0.05,1.0,0.1538623057946477
50,4,0.05,10.0,0.1563845351636844
50,4,0.5,0.1,0.1537932577667463
50,4,0.5,1.0,0.1545834077213036
50,4,0.5,10.0,0.1556861262635223
50,6,0.005,0.1,0.158863272952773
50,6,0.005,1.0,0.1587659922574679
50,6,0.005,10.0,0.1587516369380027
50,6,0.05,0.1,0.1551674181019741
50,6,0.05,1.0,0.1555420931973099
50,6,0.05,10.0,0.1548695304630544
50,6,0.5,0.1,0.1587038418972038
50,6,0.5,1.0,0.1580307435290451
50,6,0.5,10.0,0.1603278675782639
75,2,0.005,0.1,0.090896016527138
75,2,0.005,1.0,0.0890211874024505
75,2,0.005,10.0,0.0889188552025643
75,2,0.05,0.1,0.0892209948110009
75,2,0.05,1.0,0.0859765213856991
75,2,0.05,10.0,0.0867421399423295
75,2,0.5,0.1,0.0569688845741038
75,2,0.5,1.0,0.0491216179231372
75,2,0.5,10.0,0.0483041221518819
75,4,0.005,0.1,0.0945764623473362
75,4,0.005,1.0,0.0933357297633166
75,4,0.005,10.0,0.0935669091450066
75,4,0.05,0.1,0.092559948765309
75,4,0.05,1.0,0.0909749798802472
75,4,0.05,10.0,0.0910790593836931
75,4,0.5,0.1,0.0551522986371521
75,4,0.5,1.0,0.0506626866541009
75,4,0.5,10.0,0.0511659782798415
75,6,0.005,0.1,0.0959702596176169
75,6,0.005,1.0,0.0945772662066636
75,6,0.005,10.0,0.0947902237927735
75,6,0.05,0.1,0.0940661232690443
75,6,0.05,1.0,0.0929244989364082
75,6,0.05,10.0,0.0920423746115197
75,6,0.5,0.1,0.0564063632588862
75,6,0.5,1.0,0.0520687413244465
75,6,0.5,10.0,0.0511711629359805
100,2,0.005,0.1,0.2183544314558433
100,2,0.005,1.0,0.2251237393266603
100,2,0.005,10.0,0.2252343496594525
100,2,0.05,0.1,0.2168997360195826
100,2,0.05,1.0,0.2243104668777162
100,2,0.05,10.0,0.2253352513378905
100,2,0.5,0.1,0.098448481689766
100,2,0.5,1.0,0.0953519852855062
100,2,0.5,10.0,0.095862403870327
100,4,0.005,0.1,0.2348966586200882
100,4,0.005,1.0,0.2489522621694842
100,4,0.005,10.0,0.2495099839737333
100,4,0.05,0.1,0.2344599720292692
100,4,0.05,1.0,0.2443590675889731
100,4,0.05,10.0,0.2433130300768776
100,4,0.5,0.1,0.1085772230872396
100,4,0.5,1.0,0.1079283272313146
100,4,0.5,10.0,0.1068037912232485
100,6,0.005,0.1,0.2408360946457686
100,6,0.005,1.0,0.253207230319805
100,6,0.005,10.0,0.2537871279964265
100,6,0.05,0.1,0.2354170788710729
100,6,0.05,1.0,0.2434892926736419
100,6,0.05,10.0,0.2453292539478272
100,6,0.5,0.1,0.1085374738262981
100,6,0.5,1.0,0.1082977589506264
100,6,0.5,10.0,0.1065619507444007
